0.383351,382747994.297529
0.386185,326396483.240243
0.389030,312632383.222110
0.391885,304973689.908798
0.394751,331861212.928668
0.397627,362040801.747550
0.400514,377069694.266180
0.403411,416438139.878075
0.406318,449870760.341458
0.409236,380484008.390642
0.412164,378471624.384482
0.415103,340884778.990930
0.418052,312468902.772919
0.421012,302618251.072062
0.423982,298040190.539596
0.426962,298963326.419633
0.429953,292228071.361620
0.432955,293691641.008740
0.435967,276784841.948911
0.438989,267401365.943377
0.442022,258323118.251964
0.445065,254555220.969205
0.448119,249117739.894294
0.451183,243792023.392413
0.454257,229858028.135865
0.457342,228042261.267552
0.460437,231067196.009880
0.463543,233989889.021476
0.466659,227627997.827766
0.469786,233393121.381596
0.472923,231130900.347225
0.476071,221848443.858321
0.479229,223341248.139174
0.482397,218854061.120758
0.485576,218692687.264543
0.488766,218878664.540950
0.491965,210871981.653382
0.495175,214549772.221430
0.498396,219895034.173851
0.501627,215948155.947333
0.504869,213121947.445170
0.508121,213762997.939447
0.511383,221121471.081705
0.514656,221639863.732628
0.517939,228999314.717867
0.521233,226929594.741902
0.524537,233571760.398801
0.527852,215329023.412551
0.531177,212259988.735231
0.534512,214697148.205266
0.537858,220944454.537373
0.541215,203974954.062877
0.544581,204822430.493729
0.547959,205247000.746775
0.551346,215129215.465691
0.554744,210485336.104088
0.558153,194188334.130156
0.561572,196639166.906991
0.565001,202433346.369519
0.568441,198796821.777866
0.571892,197588635.883195
0.575352,202129604.868097
0.578824,210491056.149855
0.582305,215005678.569269
0.585797,204506120.273753
0.589300,216472713.377430
0.592813,208783683.417412
0.596336,218099631.999891
0.599870,212492760.726297
0.603414,222916836.480233
0.606969,209169825.377458
0.610534,223863427.504434
0.614110,224511615.957819
0.617696,220559109.691542
0.621292,242993094.700410
0.624899,235832977.598359
0.628517,225945793.100689
0.632144,234730360.262235
0.635783,228582297.967864
0.639431,242881669.173683
0.643090,257821918.530296
0.646760,270685193.702259
0.650440,293302615.904464
0.654130,286452124.503025
0.657831,282726676.997249
0.661543,266704277.485362
0.665264,258108542.067933
0.668997,250773565.730468
0.672739,248050024.546720
0.676492,248624070.885646
0.680256,246362830.566062
0.684030,255408598.077970
0.687814,259585325.501889
0.691609,260639051.968396
0.695414,262531418.879636
0.699230,248342915.167302
0.703056,246785174.994483
0.706893,249734690.297750
0.710740,251181656.091187
0.714597,255280156.110804
0.718465,251496366.184388
0.722343,253650556.949119
0.726232,254034555.958958
0.730131,263768118.247994
0.734041,262283462.887522
0.737961,256943736.458636
0.741892,255616204.976173
0.745833,244334188.728508
0.749784,248248323.002161
0.753746,247000228.005978
0.757718,245296181.569971
0.761701,241396313.247998
0.765694,245023332.379738
0.769698,235157953.740023
0.773712,236096107.201065
0.777737,237012183.360041
0.781771,224565764.216296
0.785817,224713492.729296
0.789873,226684729.472619
0.793939,223977570.916682
0.798016,217555711.997801
0.802103,214760625.461563
0.806200,205893213.335182
0.810308,205463809.202248
0.814427,208317694.579725
0.818556,200649389.573264
0.822695,190374354.859571
0.826845,194657047.116301
0.831005,197171596.537825
0.835176,197982626.714996
0.839357,193041335.711500
0.843548,197173476.939601
0.847750,193261899.049773
0.851963,192225852.716918
0.856186,180110472.821848
0.860419,180284075.531479
0.864663,183815970.229765
0.868917,175322030.800984
0.873182,175121107.051610
0.877457,179186450.951349
0.881742,176794852.557422
0.886038,179603169.106603
0.890344,175692794.934940
0.894661,176000311.425652
0.898989,174386986.783609
0.903326,175456147.586044
0.907674,180886262.739885
0.912033,184426237.155549
0.916402,174800102.633259
0.920781,170572714.012602
0.925171,174202432.978199
0.929572,167628795.641936
0.933982,166041548.934240
0.938404,169433245.142929
0.942835,160927179.271877
0.947277,157030914.752363
0.951730,168396444.501960
0.956193,164194170.746171
0.960666,165241247.920429
0.965150,164949538.114364
0.969645,166970864.797198
0.974149,163253090.437008
0.978664,156360798.785100
0.983190,156759593.636110
0.987726,156834430.836201
0.992273,161332088.900833
0.996830,158706255.828621
1.001397,163157407.532082
1.005975,171385853.913882
1.010563,166772713.009885
1.015162,168087217.959627
1.019771,164826055.492620
1.024390,164697462.529812
1.029020,164913407.113272
1.033661,158049003.638431
1.038312,152130691.145979
1.042973,149118481.172551
1.047645,150336511.193944
1.052327,147744760.728422
1.057020,148477926.284626
1.061723,156078570.645374
1.066436,153257597.194453
1.071160,153802533.801364
1.075895,154547744.989215
1.080640,154925222.463871
1.085395,153869682.400240
1.090161,154428364.263042
1.094937,150144550.912979
1.099723,148766038.282699
1.104521,152803094.206942
1.109328,155651696.003015
1.114146,154507352.297315
1.118974,157377074.222430
1.123813,155933259.671143
1.128662,156084102.492750
1.133522,152424465.583375
1.138392,156507679.862085
1.143273,153515917.628029
1.148164,151687905.544227
1.153065,155715408.308631
1.157977,154930168.475608
1.162899,155137629.756085
1.167832,155597479.371553
1.172775,155281219.233129
1.177729,146448877.573908
1.182693,149459891.047338
1.187668,149983624.193284
1.192653,151454174.635495
1.197648,148572757.414687
1.202654,148936391.648037
1.207670,153756778.778798
1.212697,150750749.477504
1.217734,149806301.823532
1.222782,147886051.558998
1.227840,151545983.108993
1.232908,144847939.161692
1.237987,151404682.434931
1.243077,147951431.368134
1.248176,146159914.919672
1.253287,149368381.838922
1.258407,148349059.842835
1.263538,150356319.901919
1.268680,152288966.780893
1.273832,146406842.646524
1.278994,155146095.474310
1.284167,161321808.669224
1.289351,144718755.690622
1.294544,143611133.695393
1.299749,150789680.262165
1.304963,153820592.363517
1.310188,149069991.628733
1.315424,143511403.248674
1.320670,147364566.013715
